region,direction,layout,size,renovation,garden,year,floor,district,price
东城, 南 , 2室1厅 , 84.46, 简装,城市亮点 ,2003,12,永定门,635
东城, 南 北 , 2室1厅 , 65.55, 精装,郭庄北里 ,1995,6,永定门,480
东城, 南 北 , 2室1厅 , 59.01, 简装,安德里北街24号院 ,1983,6,安定门,690
东城, 南 , 1室1厅 , 44.17, 毛坯,东厂胡同 ,1987,6,灯市口,470
东城, 西北 , 3室1厅 , 80.15, 简装,板厂新里 ,1990,18,广渠门,650
东城, 西 , 1室1厅 , 56.65, 简装,竹杆胡同 ,2003,9,朝阳门内,559
东城, 西北 , 1室1厅 , 55.54, 精装,金桥国际 ,2004,19,广渠门,508
东城, 南 北 , 2室1厅 , 102.06, 精装,新裕家园 ,2004,17,崇文门,1045
东城, 南 , 1室1厅 , 37.64, 简装,青年湖东里 ,1980,5,安定门,436
东城, 东 西 , 2室1厅 , 52.61, 精装,台基厂头条14号院 ,1980,6,前门,598
东城, 西 , 2室1厅 , 84.48, 简装,鼎盛园 ,2005,11,永定门,550
东城, 南 北 , 2室1厅 , 60.59, 简装,和平里七区 ,1988,6,和平里,600
东城, 东南 , 3室2厅 , 129.37, 简装,花市枣苑三期 ,2005,18,东花市,1380
东城, 南 北 , 2室1厅 , 64.82, 简装,海运仓小区 ,2003,7,东直门,740
东城, 东 , 2室1厅 , 68.41, 精装,金世纪嘉园 ,2004,21,广渠门,560
东城, 南 北 , 2室1厅 , 50.9, 精装,和平里九区 ,1990,6,和平里,550
东城, 东 西 , 2室1厅 , 77.66, 简装,仓南胡同 ,2003,7,朝阳门内,820
东城, 东 , 2室1厅 , 78.19, 精装,兴隆都市馨园 ,2003,7,崇文门,780
东城, 南 北 东 , 3室1厅 , 65.43, 简装,朝阳门内大街 ,1991,6,朝阳门内,635
东城, 南 , 3室1厅 , 76.17, 简装,富贵园三区 ,2002,18,东花市,780
东城, 南 北 , 3室1厅 , 83.73, 精装,外交部街33号院 ,1990,6,建国门内,1079
东城, 东 , 1室1厅 , 50.1, 精装,广渠家园 ,2009,28,广渠门,458
东城, 南 , 2室1厅 , 48.41, 简装,西草市东街甲34号院 ,1980,6,天坛,425
东城, 南 北 , 2室1厅 , 79.81, 简装,法华南里 ,1990,6,崇文门,715
东城, 南 北 , 2室1厅 , 69.46, 精装,朝阳门南小街 ,2004,14,朝阳门内,745
东城, 南 , 1室1厅 , 42.32, 精装,西革新里110号院 ,1992,6,永定门,350
东城, 南 北 , 2室1厅 , 60.77, 精装,崇文门东大街 ,1984,12,崇文门,583
东城, 南 北 , 2室1厅 , 62.05, 简装,南水关 ,1989,14,广渠门,560
东城, 南 , 1室1厅 , 46.34, 精装,赵堂子胡同 ,1990,6,建国门内,485
东城, 南 , 2室1厅 , 91.78, 简装,左安浦园 ,2004,18,左安门,712
东城, 东 西 , 2室1厅 , 54.29, 简装,西草市东街甲34号院 ,1980,6,天坛,430
东城, 西北 , 2室1厅 , 71.87, 简装,南门仓胡同 ,2003,6,朝阳门内,789
东城, 南 北 , 2室1厅 , 46.64, 精装,北新桥三条 ,1985,6,东直门,525
东城, 东南 , 2室1厅 , 86.57, 简装,保利蔷薇 ,2008,16,广渠门,855
东城, 南 , 2室1厅 , 70.83, 简装,民安小区东扬威街 ,2002,12,东直门,760
东城, 南 北 , 2室1厅 , 55.64, 精装,化工大院 ,1988,5,和平里,640
东城, 南 北 , 3室1厅 , 81.68, 精装,香饵胡同 ,2002,6,交道口,1120
东城, 南 北 , 2室1厅 , 58.53, 简装,小黄庄二区 ,1994,6,安贞,575
东城, 东 西 北 , 2室1厅 , 65.35, 简装,民旺园 ,1993,16,和平里,719
东城, 北 南 , 2室1厅 , 57.75, 简装,长青园 ,1990,6,左安门,480
东城, 南 北 , 2室1厅 , 129.41, 精装,冠城名敦道 ,2009,17,广渠门,1290
东城, 东南 , 3室1厅 , 79.02, 精装,东花市北里西区 ,1995,6,东花市,715
东城, 东南 , 3室1厅 , 146.77, 精装,丽水湾畔家园 ,2002,21,广渠门,1245
东城, 南 北 , 3室1厅 , 102.27, 精装,国瑞城中区 ,2006,16,崇文门,935
东城, 东 北 , 3室1厅 , 99.72, 简装,本家润园三期 ,2005,18,东花市,920
东城, 南 北 , 3室1厅 , 139.91, 简装,丽水湾畔家园 ,2002,21,广渠门,1030
东城, 西南 , 1室1厅 , 83.36, 简装,冠城名敦道 ,2010,23,广渠门,575
东城, 南 北 , 2室1厅 , 69.25, 简装,车站路6号院 ,1980,6,陶然亭,460
东城, 南 , 3室1厅 , 107.84, 简装,景泰西里西区 ,2005,9,永定门,688
东城, 西南 东北 , 2室1厅 , 97.46, 精装,左安漪园 ,2004,17,左安门,766
东城, 南 北 , 2室1厅 , 63.81, 简装,小黄庄一区 ,1991,21,安贞,628
东城, 南 , 1室1厅 , 38.5, 精装,地坛北里 ,1990,5,和平里,488
东城, 南 西 , 3室2厅 , 155.56, 精装,左安漪园 ,2004,17,左安门,1150
东城, 南 北 , 4室3厅 , 204.16, 精装,新怡家园 ,2006,13,崇文门,2450
东城, 南 北 , 3室1厅 , 94.58, 简装,小取灯胡同8号院 ,1992,4,东四,1050
东城, 南 , 3室1厅 , 95.49, 简装,新景家园西区 ,2004,12,崇文门,1030
东城, 东南 南 , 2室1厅 , 73.12, 简装,安德里北街25号院 ,1990,17,安定门,695
东城, 南 北 , 3室1厅 , 70.95, 精装,和平里三区 ,1996,6,和平里,778
东城, 南 北 , 2室1厅 , 109.79, 简装,幸福家园一期 ,2002,18,广渠门,1130
东城, 南 北 , 2室1厅 , 70.84, 精装,新景家园西区 ,2004,6,崇文门,750
东城, 南 北 , 2室1厅 , 106.87, 精装,新景家园东区 ,2008,15,崇文门,1160
东城, 南 , 1室1厅 , 53.19, 简装,兴隆都市馨园 ,2003,7,崇文门,549
东城, 东 西 北 , 3室2厅 , 182.79, 精装,东直门内北小街2号院 ,2003,20,东直门,1480
东城, 东 西 , 2室1厅 , 54.17, 精装,安外西河沿 ,1983,11,安定门,529
东城, 北 , 1室1厅 , 81.93, 精装,瑞士公寓 ,2007,14,朝阳门外,709
东城, 东南 , 3室1厅 , 91.25, 精装,安定路 ,1995,20,安贞,857
东城, 东 西 , 3室1厅 , 88.45, 简装,新景家园东区 ,2005,18,崇文门,870
东城, 西南 , 2室1厅 , 74.36, 简装,永铁苑 ,2000,22,陶然亭,480
东城, 南 北 , 2室2厅 , 139.17, 简装,东花市北里西区 ,1996,6,东花市,1050
东城, 南 北 , 3室1厅 , 70.66, 精装,和平里七区 ,1986,5,和平里,768
东城, 东 , 2室1厅 , 71.17, 精装,民安小区东直门北中街 ,2002,11,东直门,730
东城, 南 北 , 3室1厅 , 113.87, 简装,华龙美晟 ,2009,12,永定门,729
东城, 南 北 , 3室2厅 , 149.25, 精装,富莱茵花园 ,1995,6,永定门,995
东城, 南 北 , 2室1厅 , 61.19, 精装,交林 ,1985,6,和平里,696
东城, 东南 北 , 2室1厅 , 111.5, 精装,本家润园一期 ,2005,12,东花市,1099
东城, 东 , 1室1厅 , 52.13, 简装,国瑞城中区 ,2006,16,崇文门,490
东城, 东 西 , 1室1厅 , 69.12, 精装,本家润园一期 ,2005,11,东花市,680
