region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
西城, 南 , 2室1厅 , 54.1, 精装,五路通北街3号院 ,1978,5,六铺炕,799,147690.0
西城, 东 , 2室1厅 , 48.4, 精装,三里河东路甲14号院 ,1978,6,月坛,618,127686.0
西城, 南 北 , 1室1厅 , 51.01, 简装,教场口6号院 ,2003,6,六铺炕,715,140169.0
西城, 北 , 1室0厅 , 59.86, 精装,荣丰2008 ,2008,20,广安门,460,76846.0
西城, 南 北 , 2室1厅 , 48.21, 精装,黑窑厂西里 ,1970,5,陶然亭,700,145199.0
西城, 西南 , 1室1厅 , 62.92, 简装,似海怡家 ,2002,25,牛街,550,87413.0
西城, 南 北 , 2室1厅 , 102.72, 精装,观河锦苑 ,2004,6,德胜门,1450,141161.0
西城, 南 北 , 2室1厅 , 65.44, 简装,平原里小区 ,1998,6,牛街,635,97036.0
西城, 东 西 , 2室1厅 , 56.7, 简装,百万庄7号院 ,1977,5,阜成门,640,112875.0
西城, 北 , 1室1厅 , 29.48, 简装,荣丰2008 ,2007,16,广安门,450,152646.0
西城, 南 北 , 2室1厅 , 59.8, 简装,黄寺大街24号院 ,1995,6,六铺炕,869,145318.0
西城, 南 , 3室1厅 , 70.3, 简装,六铺炕二区 ,1994,15,六铺炕,1039,147796.0
西城, 南 , 1室1厅 , 47.53, 简装,车站西街17号院 ,1992,6,广安门,449,94467.0
西城, 西北 , 2室1厅 , 61.6, 精装,六铺炕二区 ,1990,17,六铺炕,870,141234.0
西城, 南 , 1室1厅 , 43.56, 简装,红莲中里 ,1988,16,马连道,410,94124.0
西城, 南 , 2室1厅 , 50.3, 精装,里仁东街 ,1983,6,陶然亭,655,130219.0
西城, 西南 , 1室1厅 , 57.95, 简装,白纸坊西街 ,2004,18,右安门内,550,94910.0
西城, 南 , 1室1厅 , 39.4, 简装,爱民里小区 ,1992,6,西四,649,164721.0
西城, 南 北 , 3室2厅 , 133.5, 简装,新外大街甲8号院 ,1996,6,马甸,1850,138577.0
西城, 东 , 2室1厅 , 50.7, 精装,阜成门南大街 ,1992,20,月坛,620,122288.0
西城, 东南 , 3室1厅 , 94.4, 精装,黄寺大街24号院 ,1999,18,六铺炕,1298,137500.0
西城, 南 北 , 2室1厅 , 55.5, 简装,月坛北小街 ,1993,6,月坛,668,120361.0
西城, 南 北 , 3室1厅 , 88.4, 简装,新外大街甲8号院 ,1980,6,马甸,1260,142534.0
西城, 南 北 , 2室1厅 , 56.9, 简装,六铺炕二区 ,1953,3,六铺炕,760,133568.0
西城, 北 , 1室1厅 , 28.57, 精装,荣丰2008 ,2005,10,广安门,410,143508.0
西城, 南 北 , 3室1厅 , 68.6, 精装,新德街35号院 ,1990,7,德胜门,850,123907.0
西城, 南 北 , 3室1厅 , 96.87, 精装,广安门外南街 ,1998,14,天宁寺,820,84650.0
西城, 南 , 1室1厅 , 47.28, 精装,红居斜街 ,1997,6,广安门,480,101523.0
西城, 西南 , 3室1厅 , 86.2, 简装,富明公寓 ,1999,25,牛街,760,88168.0
西城, 南 北 , 2室1厅 , 61.71, 精装,小马厂南里 ,1993,6,广安门,590,95609.0
西城, 南 , 1室1厅 , 38.99, 精装,三义东里 ,1987,16,马连道,420,107720.0
西城, 西南 , 3室2厅 , 150.43, 精装,陶然北岸 ,2004,18,陶然亭,1860,123646.0
西城, 东 , 1室0厅 , 52.88, 简装,远见名苑 ,2004,24,广安门,479,90583.0
西城, 南 东 西 , 3室1厅 , 65.6, 简装,真武庙 ,1982,6,木樨地,776,118293.0
