region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 南 北 , 2室1厅 , 58.53, 简装,小黄庄二区 ,1994,6,安贞,575,98241.0
东城, 东 西 北 , 2室1厅 , 65.35, 简装,民旺园 ,1993,16,和平里,719,110023.0
东城, 南 北 , 2室1厅 , 129.41, 精装,冠城名敦道 ,2009,17,广渠门,1290,99684.0
东城, 东南 , 3室1厅 , 79.02, 精装,东花市北里西区 ,1995,6,东花市,715,90484.0
东城, 东南 , 3室2厅 , 129.37, 简装,花市枣苑三期 ,2005,18,东花市,1380,106671.0
东城, 东南 , 3室1厅 , 146.77, 精装,丽水湾畔家园 ,2002,21,广渠门,1245,84827.0
东城, 南 , 3室1厅 , 76.17, 简装,富贵园三区 ,2002,18,东花市,780,102403.0
东城, 西北 , 2室1厅 , 94.07, 精装,花市枣苑三期 ,2005,17,东花市,962,102265.0
东城, 东 北 , 3室1厅 , 99.72, 简装,本家润园三期 ,2005,18,东花市,920,92259.0
东城, 南 , 2室1厅 , 84.46, 简装,城市亮点 ,2003,12,永定门,635,75184.0
东城, 西南 , 1室1厅 , 83.36, 简装,冠城名敦道 ,2010,23,广渠门,575,68978.0
东城, 南 , 3室1厅 , 107.84, 简装,景泰西里西区 ,2005,9,永定门,688,63799.0
东城, 西南 东北 , 2室1厅 , 97.46, 精装,左安漪园 ,2004,17,左安门,766,78597.0
东城, 南 , 2室1厅 , 66.77, 精装,和平里六区 ,1993,18,和平里,786,117718.0
东城, 南 , 1室1厅 , 59.33, 简装,新景家园东区 ,2004,17,崇文门,620,104501.0
东城, 南 北 , 2室1厅 , 63.81, 简装,小黄庄一区 ,1991,21,安贞,628,98418.0
东城, 东 , 2室1厅 , 68.41, 精装,金世纪嘉园 ,2004,21,广渠门,560,81860.0
东城, 东南 , 2室1厅 , 95.19, 精装,建予园 ,2001,16,永定门,635,66709.0
东城, 西 , 1室1厅 , 56.65, 简装,竹杆胡同 ,2003,9,朝阳门内,559,98677.0
东城, 南 西 , 3室2厅 , 155.56, 精装,左安漪园 ,2004,17,左安门,1150,73927.0
东城, 东 , 2室1厅 , 63.75, 精装,本家润园三期 ,2005,18,东花市,585,91765.0
东城, 南 , 1室1厅 , 56.99, 简装,东环居苑 ,2004,18,广渠门,530,92999.0
东城, 东 , 2室1厅 , 78.19, 精装,兴隆都市馨园 ,2003,7,崇文门,780,99758.0
东城, 南 北 , 2室1厅 , 102.57, 精装,和平新城一期 ,2003,19,和平里,1120,109194.0
东城, 南 北 , 2室1厅 , 46.64, 精装,北新桥三条 ,1985,6,东直门,525,112565.0
东城, 东 , 1室1厅 , 50.1, 精装,广渠家园 ,2009,28,广渠门,458,91418.0
东城, 南 北 , 2室1厅 , 65.55, 精装,郭庄北里 ,1995,6,永定门,480,73227.0
东城, 南 东 , 1室1厅 , 39.25, 简装,长青园 ,1989,6,左安门,385,98090.0
东城, 南 北 , 2室1厅 , 70.84, 精装,新景家园西区 ,2004,6,崇文门,750,105873.0
东城, 东 , 2室1厅 , 121.68, 简装,金桥国际 ,2004,19,广渠门,820,67390.0
东城, 南 , 1室1厅 , 53.19, 简装,兴隆都市馨园 ,2003,7,崇文门,549,103215.0
东城, 北 , 1室1厅 , 81.93, 精装,瑞士公寓 ,2007,14,朝阳门外,709,86538.0
东城, 南 北 , 2室2厅 , 150.8, 精装,新怡家园 ,2006,13,崇文门,1680,111406.0
东城, 南 北 , 3室2厅 , 179.31, 精装,冠城名敦道 ,2009,27,广渠门,1730,96481.0
东城, 东 西 , 3室1厅 , 88.45, 简装,新景家园东区 ,2005,18,崇文门,870,98361.0
东城, 南 北 , 2室1厅 , 52.35, 精装,台基厂头条2号院 ,1980,5,前门,610,116524.0
东城, 西南 , 2室1厅 , 74.36, 简装,永铁苑 ,2000,22,陶然亭,480,64551.0
